ID,CVE-ID,CVSS-V3,CVSS-V2,SEVERITY,CWE-ID,Operating_System,Software_Component,Version,Impact,Affected_Hardware,Network_Requirements,Affected_Protocols,Authentication_Required,Privileges_Required,User_Interaction_Required,Vendor
1,CVE-1999-0001,,5.0,MEDIUM,CWE-20,BSD-derived,ip_input.c,,denial of service (crash or hang),,remote,TCP/IP,,,,
2,CVE-1999-0002,,10.0,HIGH,CWE-119,Linux,NFS mountd,,root access,,remote,NFS,,,,
3,CVE-1999-0003,,10.0,HIGH,NVD-CWE-Other,,,,,,,,,,,
4,CVE-1999-0004,,5.0,MEDIUM,NVD-CWE-Other,,,,,,,,,,,
5,CVE-1999-0005,,10.0,HIGH,NVD-CWE-Other,,,,,,,,,,,
6,CVE-1999-0006,,10.0,HIGH,NVD-CWE-Other,BSD/Qualcomm,qpopper,,code execution and root access,,remote,POP,Yes,,No,
7,CVE-1999-0007,,5.0,MEDIUM,CWE-327,,,,,,,,,,,
8,CVE-1999-0008,,10.0,HIGH,NVD-CWE-Other,,"NIS+, in Sun's rpc.nisd program",,buffer overflow,,,,,,,Sun
9,CVE-1999-0009,,10.0,HIGH,NVD-CWE-Other,,,,,,,,,,,
10,CVE-1999-0010,,5.0,MEDIUM,NVD-CWE-Other,,,,,,,,,,,
11,CVE-1999-0011,,10.0,HIGH,NVD-CWE-Other,,,,,,,,,,,
12,CVE-1999-0012,,5.0,MEDIUM,NVD-CWE-Other,Windows,web servers,,bypass access restrictions,,remote,,,,,Microsoft
13,CVE-1999-0013,,7.5,HIGH,NVD-CWE-Other,,ssh-agent program,,other local users can access remote accounts,,local,SSH,Yes,,,
14,CVE-1999-0014,,7.2,HIGH,NVD-CWE-Other,,,,,,,,,,,
15,CVE-1999-0015,,5.0,MEDIUM,NVD-CWE-Other,,IP stack,,denial of service,,remote,IP,No,,,
16,CVE-1999-0016,,5.0,MEDIUM,NVD-CWE-Other,,,,,,,,,,,
17,CVE-1999-0017,,7.5,HIGH,NVD-CWE-Other,,FTP servers,,allows an attacker to connect to arbitrary ports,,remote,FTP,,,,
18,CVE-1999-0018,,10.0,HIGH,NVD-CWE-Other,,,,,,,,,,,
19,CVE-1999-0019,,5.0,MEDIUM,NVD-CWE-Other,,,,,,,,,,,
