ID,CVE-ID,CVSS-V3,CVSS-V2,SEVERITY,DESCRIPTION,CWE-ID,Operating_System,Software_Component,Version,Impact,Affected_Hardware,Network_Requirements,Affected_Protocols,Authentication_Required,Privileges_Required,User_Interaction_Required,Vendor
1,CVE-1999-0001,,5.0,MEDIUM,ip_input.c in BSD-derived TCP/IP implementations allows remote attackers to cause a denial of service (crash or hang) via crafted packets.,CWE-20,BSD-derived,ip_input.c,,denial of service (crash or hang),,remote,TCP/IP,,,,
2,CVE-1999-0002,,10.0,HIGH,"Buffer overflow in NFS mountd gives root access to remote attackers, mostly in Linux systems.",CWE-119,Linux,NFS mountd,,root access,,remote,NFS,,,,
3,CVE-1999-0003,,10.0,HIGH,Execute commands as root via buffer overflow in Tooltalk database server (rpc.ttdbserverd).,NVD-CWE-Other,,,,,,,,,,,
4,CVE-1999-0004,,5.0,MEDIUM,"MIME buffer overflow in email clients, e.g. Solaris mailtool and Outlook.",NVD-CWE-Other,,,,,,,,,,,
5,CVE-1999-0005,,10.0,HIGH,Arbitrary command execution via IMAP buffer overflow in authenticate command.,NVD-CWE-Other,,,,,,,,,,,
6,CVE-1999-0006,,10.0,HIGH,Buffer overflow in POP servers based on BSD/Qualcomm's qpopper allows remote attackers to gain root access using a long PASS command.,NVD-CWE-Other,BSD/Qualcomm,qpopper,,code execution and root access,,remote,POP,Yes,,No,
7,CVE-1999-0007,,5.0,MEDIUM,Information from SSL-encrypted sessions via PKCS #1.,CWE-327,,,,,,,,,,,
8,CVE-1999-0008,,10.0,HIGH,"Buffer overflow in NIS+, in Sun's rpc.nisd program.",NVD-CWE-Other,,"NIS+, in Sun's rpc.nisd program",,buffer overflow,,,,,,,Sun
9,CVE-1999-0009,,10.0,HIGH,Inverse query buffer overflow in BIND 4.9 and BIND 8 Releases.,NVD-CWE-Other,,,,,,,,,,,
10,CVE-1999-0010,,5.0,MEDIUM,Denial of Service vulnerability in BIND 8 Releases via maliciously formatted DNS messages.,NVD-CWE-Other,,,,,,,,,,,
11,CVE-1999-0011,,10.0,HIGH,Denial of Service vulnerabilities in BIND 4.9 and BIND 8 Releases via CNAME record and zone transfer.,NVD-CWE-Other,,,,,,,,,,,
12,CVE-1999-0012,,5.0,MEDIUM,Some web servers under Microsoft Windows allow remote attackers to bypass access restrictions for files with long file names.,NVD-CWE-Other,Windows,web servers,,bypass access restrictions,,remote,,,,,Microsoft
13,CVE-1999-0013,,7.5,HIGH,"Stolen credentials from SSH clients via ssh-agent program, allowing other local users to access remote accounts belonging to the ssh-agent user.",NVD-CWE-Other,,ssh-agent program,,other local users can access remote accounts,,local,SSH,Yes,,,
14,CVE-1999-0014,,7.2,HIGH,Unauthorized privileged access or denial of service via dtappgather program in CDE.,NVD-CWE-Other,,,,,,,,,,,
15,CVE-1999-0015,,5.0,MEDIUM,Teardrop IP denial of service.,NVD-CWE-Other,,IP stack,,denial of service,,remote,IP,No,,,
16,CVE-1999-0016,,5.0,MEDIUM,Land IP denial of service.,NVD-CWE-Other,,,,,,,,,,,
17,CVE-1999-0017,,7.5,HIGH,"FTP servers can allow an attacker to connect to arbitrary ports on machines other than the FTP client, aka FTP bounce.",NVD-CWE-Other,,FTP servers,,allows an attacker to connect to arbitrary ports,,remote,FTP,,,,
18,CVE-1999-0018,,10.0,HIGH,Buffer overflow in statd allows root privileges.,NVD-CWE-Other,,,,,,,,,,,
19,CVE-1999-0019,,5.0,MEDIUM,"Delete or create a file via rpc.statd, due to invalid information.",NVD-CWE-Other,,,,,,,,,,,
20,CVE-1999-0021,,7.5,HIGH,Arbitrary command execution via buffer overflow in Count.cgi (wwwcount) cgi-bin program.,NVD-CWE-Other,,,,,,,,,,,
21,CVE-1999-0022,,7.2,HIGH,"Local user gains root privileges via buffer overflow in rdist, via expstr() function.",NVD-CWE-Other,,,,,,,,,,,
22,CVE-1999-0023,,7.2,HIGH,"Local user gains root privileges via buffer overflow in rdist, via lookup() function.",NVD-CWE-Other,,rdist,,code execution with root privileges,,local,,,user,,
23,CVE-1999-0024,,5.0,MEDIUM,"DNS cache poisoning via BIND, by predictable query IDs.",NVD-CWE-Other,,BIND,,DNS cache poisoning,,,DNS,,,,
24,CVE-1999-0025,,7.2,HIGH,root privileges via buffer overflow in df command on SGI IRIX systems.,NVD-CWE-Other,SGI IRIX,df command,,root privileges,,,,,,,SGI
25,CVE-1999-0026,,4.6,MEDIUM,root privileges via buffer overflow in pset command on SGI IRIX systems.,NVD-CWE-Other,,,,,,,,,,,
26,CVE-1999-0027,,7.2,HIGH,root privileges via buffer overflow in eject command on SGI IRIX systems.,CWE-119,SGI IRIX,eject command,,root privileges,,local,,,,,SGI
27,CVE-1999-0028,,7.2,HIGH,root privileges via buffer overflow in login/scheme command on SGI IRIX systems.,NVD-CWE-Other,SGI IRIX,login/scheme command,,root privileges,,,,,,,SGI
28,CVE-1999-0029,,7.2,HIGH,root privileges via buffer overflow in ordist command on SGI IRIX systems.,NVD-CWE-Other,SGI IRIX,ordist command,,root privileges,,,,,,,SGI
29,CVE-1999-0030,,7.2,HIGH,root privileges via buffer overflow in xlock command on SGI IRIX systems.,NVD-CWE-Other,SGI IRIX,xlock command,,root privileges,,,,,,,SGI
30,CVE-1999-0031,,2.6,LOW,"JavaScript in Internet Explorer 3.x and 4.x, and Netscape 2.x, 3.x and 4.x, allows remote attackers to monitor a user's web activities, aka the Bell Labs vulnerability.",NVD-CWE-Other,,,,,,,,,,,
31,CVE-1999-0032,,7.2,HIGH,"Buffer overflow in lpr, as used in BSD-based systems including Linux, allows local users to execute arbitrary code as root via a long -C (classification) command line option.",NVD-CWE-Other,,,,,,,,,,,
32,CVE-1999-0033,,7.2,HIGH,Command execution in Sun systems via buffer overflow in the at program.,NVD-CWE-Other,Sun systems,at program,,command execution,,,,,,,
33,CVE-1999-0034,,7.2,HIGH,"Buffer overflow in suidperl (sperl), Perl 4.x and 5.x.",NVD-CWE-Other,,,,,,,,,,,
34,CVE-1999-0035,,5.1,MEDIUM,"Race condition in signal handling routine in ftpd, allowing read/write arbitrary files.",NVD-CWE-Other,,,,,,,,,,,
35,CVE-1999-0036,,7.2,HIGH,IRIX login program with a nonzero LOCKOUT parameter allows creation or damage to files.,NVD-CWE-Other,IRIX,login program,,file creation or damage,,,,Yes,,,
36,CVE-1999-0037,,7.5,HIGH,"Arbitrary command execution via metamail package using message headers, when user processes attacker's message using metamail.",NVD-CWE-Other,,,,,,,,,,,
37,CVE-1999-0038,,7.2,HIGH,Buffer overflow in xlock program allows local users to execute commands as root.,NVD-CWE-Other,,xlock program,,code execution as root,,local,,,,,
38,CVE-1999-0039,,7.5,HIGH,webdist CGI program (webdist.cgi) in SGI IRIX allows remote attackers to execute arbitrary commands via shell metacharacters in the distloc parameter.,NVD-CWE-Other,SGI IRIX,webdist CGI program (webdist.cgi),,arbitrary commands execution,,remote,,,,,
39,CVE-1999-0040,,7.2,HIGH,Buffer overflow in Xt library of X Windowing System allows local users to execute commands with root privileges.,NVD-CWE-Other,,Xt library of X Windowing System,,code execution with root privileges,,local,,,,,
40,CVE-1999-0041,,7.5,HIGH,Buffer overflow in NLS (Natural Language Service).,NVD-CWE-Other,,,,,,,,,,,
41,CVE-1999-0042,,10.0,HIGH,Buffer overflow in University of Washington's implementation of IMAP and POP servers.,NVD-CWE-Other,,IMAP and POP servers,,buffer overflow,,,"IMAP, POP",,,,University of Washington
42,CVE-1999-0043,,10.0,HIGH,,NVD-CWE-Other,,,,,,,,,,,
43,CVE-1999-0044,,7.2,HIGH,fsdump command in IRIX allows local users to obtain root access by modifying sensitive files.,NVD-CWE-Other,IRIX,fsdump command,,root access,,local,,,,Yes,
44,CVE-1999-0045,,7.5,HIGH,List of arbitrary files on Web host via nph-test-cgi script.,NVD-CWE-Other,,nph-test-cgi script,,List of arbitrary files on Web host,,,HTTP,,,,
45,CVE-1999-0046,,10.0,HIGH,Buffer overflow of rlogin program using TERM environmental variable.,NVD-CWE-Other,,,,,,,,,,,
46,CVE-1999-0047,,10.0,HIGH,MIME conversion buffer overflow in sendmail versions 8.8.3 and 8.8.4.,NVD-CWE-Other,,,,,,,,,,,
47,CVE-1999-0048,,10.0,HIGH,"Talkd, when given corrupt DNS information, can be used to execute arbitrary commands with root privileges.",NVD-CWE-Other,,Talkd,,arbitrary commands with root privileges,,,,,root,,
48,CVE-1999-0049,,7.2,HIGH,Csetup under IRIX allows arbitrary file creation or overwriting.,NVD-CWE-Other,IRIX,Csetup,,arbitrary file creation or overwriting,,,,,,,
49,CVE-1999-0050,,7.2,HIGH,Buffer overflow in HP-UX newgrp program.,NVD-CWE-Other,HP-UX,newgrp program,,buffer overflow,,,,,,,HP
50,CVE-1999-0051,,7.2,HIGH,"Arbitrary file creation and program execution using FLEXlm LicenseManager, from versions 4.0 to 5.0, in IRIX.",NVD-CWE-Other,IRIX,FLEXlm LicenseManager,from 4.0 to 5.0,arbitrary file creation and program execution,,,,,,,
51,CVE-1999-0052,,5.0,MEDIUM,IP fragmentation denial of service in FreeBSD allows a remote attacker to cause a crash.,NVD-CWE-Other,FreeBSD,IP fragmentation,,denial of service,,remote,,,,,
52,CVE-1999-0053,,5.0,MEDIUM,TCP RST denial of service in FreeBSD.,NVD-CWE-Other,,,,,,,,,,,
53,CVE-1999-0054,,5.0,MEDIUM,Sun's ftpd daemon can be subjected to a denial of service.,NVD-CWE-Other,,Sun's ftpd daemon,,denial of service,,,FTP,,,,Sun
54,CVE-1999-0055,,7.2,HIGH,Buffer overflows in Sun libnsl allow root access.,NVD-CWE-Other,,Sun libnsl,,root access,,,,,,,Sun
55,CVE-1999-0056,,7.2,HIGH,Buffer overflow in Sun's ping program can give root access to local users.,NVD-CWE-Other,,Sun's ping program,,"code execution, root access",,local,,No,,No,Sun
56,CVE-1999-0057,,7.5,HIGH,Vacation program allows command execution by remote users through a sendmail command.,NVD-CWE-Other,,sendmail command,,command execution,,remote,,No,,,
57,CVE-1999-0058,,7.5,HIGH,"Buffer overflow in PHP cgi program, php.cgi allows shell access.",NVD-CWE-Other,,,,,,,,,,,
58,CVE-1999-0059,,7.1,HIGH,IRIX fam service allows an attacker to obtain a list of all files on the server.,NVD-CWE-Other,IRIX,fam service,,information disclosure (file list access),,remote,,No,,No,
59,CVE-1999-0060,,5.0,MEDIUM,"Attackers can cause a denial of service in Ascend MAX and Pipeline routers with a malformed packet to the discard port, which is used by the Java Configurator tool.",NVD-CWE-Other,,,,,,,,,,,
60,CVE-1999-0061,,5.1,MEDIUM,"File creation and deletion, and remote execution, in the BSD line printer daemon (lpd).",NVD-CWE-Other,,BSD line printer daemon,,"file creation and deletion, remote execution",,remote,,,,,BSD
61,CVE-1999-0062,,7.2,HIGH,The chpass command in OpenBSD allows a local user to gain root access through file descriptor leakage.,NVD-CWE-Other,OpenBSD,chpass command,,code execution (gaining root access),,local,,Yes,,,OpenBSD
